index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
135,CHEMBL1362734,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3cc(C(F)(F)F)ccc3s2)c(Cl)c1=O,50000.0,inactive
136,CHEMBL1362595,CC(C)c1nc2sc3c(S)ncnc3c2c2c1CCC2,50000.0,inactive
137,CHEMBL1424118,Nc1nc(CCl)nc(Nc2ccc3ccccc3c2)n1,50000.0,inactive
138,CHEMBL1606112,O=C(Nc1ccc(F)cc1)C1C(c2ccccc2)C1(Cl)Cl,50000.0,inactive
139,CHEMBL1532953,CCCCn1c(NS(=O)(=O)c2ccc(C)cc2)c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc21,50000.0,inactive
140,CHEMBL1375922,Fc1ccccc1-c1nc(NCc2ccccc2)c2ccccc2n1,50000.0,inactive
141,CHEMBL2005296,COc1ccc(/C=N/Nc2nnc(-c3ccccc3)c(O)n2)cc1,50000.0,inactive
142,CHEMBL1425538,O=C(O[C@@H]1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@@H]2O)[C@H]1O)c1cc(O)c(O)c(O)c1,50000.0,inactive
143,CHEMBL1306199,N#Cc1c(NC(=O)c2ccccc2Cl)n(Cc2ccccc2)c2nc3ccccc3nc12,50000.0,inactive
144,CHEMBL1306258,Cc1cc(Nc2ccccc2)nc(-c2ccccc2O)n1,50000.0,inactive
145,CHEMBL1306425,[O-][n+]1onc2c1CCc1[nH]c(-c3ccccc3)nc1-2,50000.0,inactive
146,CHEMBL1560833,Cc1n[nH]c(S/C(=C\c2ccc(-c3ccc(C(=O)O)c(Cl)c3)o2)C(=O)O)n1,50000.0,inactive
147,CHEMBL1416392,CSC1=NSC2=NC(=O)/C(=C\c3c(C)[nH]c4ccccc34)C(=N)N12,50000.0,inactive
148,CHEMBL1504948,Cc1[nH]c2ccccc2c1/C=C1/C(=N)N2C(=NC1=O)SN=C2S(=O)(=O)CC(C)C,50000.0,inactive
149,CHEMBL1426692,N#Cc1c(N2CCCCC2)nc(N)c2c(N)nc(SCC(=O)O)cc12,50000.0,inactive
150,CHEMBL1307594,Oc1cc(CCl)nc2nc3ccccc3n12,50000.0,inactive
151,CHEMBL1404929,O=C(NNc1c2ccccc2nc2ccccc12)c1ccc(O)cc1O,50000.0,inactive
152,CHEMBL1544997,Cn1cc(C(=O)CCl)c2ccccc21,50000.0,inactive
153,CHEMBL1417692,Cc1ccc2[nH]cc(C(=O)CCl)c2c1,50000.0,inactive
154,CHEMBL51931,O=C1C(=O)c2ccccc2-c2ccccc21,50000.0,inactive
