,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
36,36,CHEMBL1362311,CCOC(=O)/C(C#N)=C/c1sc2ccccc2c1-c1ccccc1,inactive,333.4120000000001,5.038380000000004,0.0,4.0,4.301029995663981
37,37,CHEMBL1515723,CCOC(=O)/C(C#N)=C/c1c[nH]c2ccc(C#N)cc12,inactive,265.27200000000005,2.5096600000000002,1.0,4.0,4.301029995663981
38,38,CHEMBL1476178,N#Cc1ccc(Nc2nc(-c3cccc(Br)c3)cs2)cc1,inactive,356.24800000000005,5.187880000000002,1.0,4.0,4.301029995663981
39,39,CHEMBL1314351,Cc1cc(-c2csc(Nc3ccc(C#N)cc3)n2)c(C)n1C,inactive,308.4100000000001,4.380720000000004,1.0,5.0,4.301029995663981
40,40,CHEMBL1356663,N#CC(C#N)=Cc1c2ccccc2cc2ccccc12,inactive,254.292,4.423560000000002,0.0,2.0,4.301029995663981
41,41,CHEMBL1434053,CCOC(=O)/C(C#N)=C/c1ccc(C#N)cc1,inactive,226.235,2.02836,0.0,4.0,4.301029995663981
42,42,CHEMBL1490267,N#Cc1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1C(F)(F)F,inactive,377.34700000000004,4.855380000000003,3.0,6.0,4.869988050328096
43,43,CHEMBL1516388,CC(=O)O.Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,intermediate,578.6140000000004,6.473140000000009,7.0,9.0,5.268733650924508
44,44,CHEMBL1418796,CC(=O)Oc1cc2c3c(c1)/C(=C1/SC(=S)NC1=O)C(=O)N3C(C)(C)C=C2C,inactive,400.4810000000002,3.0130000000000017,1.0,6.0,4.301029995663981
45,45,CHEMBL239103,NS(=O)(=O)c1ccc(Nc2nc(-c3ccc(O)cc3O)cs2)cc1,inactive,363.42,2.6123000000000003,4.0,7.0,4.616903070050906
46,46,CHEMBL1399109,O=C(CCl)Nc1nc(-c2ccco2)c(-c2ccco2)s1,inactive,308.74600000000004,3.8404000000000007,1.0,5.0,4.301029995663981
47,47,CHEMBL1458321,O=C(NC1(O)C(=O)c2ccccc2C1=O)c1c(Cl)cccc1Cl,inactive,350.15700000000004,2.4910000000000005,2.0,4.0,4.301029995663981
48,48,CHEMBL1329974,O=C(O)CSc1cc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc2c1O,inactive,434.4510000000002,3.431100000000002,3.0,7.0,4.301029995663981
49,49,CHEMBL1575869,CCCCn1c(NC(=O)c2ccccc2Cl)c(C#N)c2nc3ccccc3nc21,inactive,403.87300000000016,5.161980000000004,1.0,5.0,4.301029995663981
50,50,CHEMBL3193664,Oc1ccc(/C=N/Nc2ccnc3cc(Cl)ccc23)cc1O,inactive,313.7440000000001,3.7454000000000014,3.0,5.0,4.437945170343621
51,51,CHEMBL1989852,COc1ccc2ccccc2c1/C=N/NC(=O)c1sc(N)c(C#N)c1C,intermediate,364.4300000000001,3.4361000000000006,2.0,6.0,5.587707490676953
52,52,CHEMBL1529285,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,inactive,464.5180000000001,5.151200000000004,3.0,4.0,4.721246399047171
53,53,CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,intermediate,406.90700000000004,6.609000000000001,2.0,2.0,5.260585897301305
54,54,CHEMBL591404,N=C(N)N/N=C/c1ccc(OCc2ccc(Cl)cc2Cl)cc1,inactive,337.21000000000004,3.3893700000000013,3.0,3.0,4.301029995663981
55,55,CHEMBL1499658,COc1cccc(-n2c(SCc3cc(=O)oc4cc(O)c(O)cc34)nc3ccccc3c2=O)c1,inactive,474.49400000000014,4.204200000000004,2.0,9.0,4.676541633150532
56,56,CHEMBL2001831,O=C(CCl)c1c[nH]c(/C=N/Nc2ccccc2Cl)c1,inactive,296.15700000000004,3.5356000000000014,2.0,3.0,4.301029995663981
57,57,CHEMBL1302170,O=S(=O)(Nc1cc2nc3ccccc3nc2n1Cc1ccccc1)c1ccc(Cl)cc1,inactive,448.9350000000002,5.087000000000003,1.0,5.0,4.301029995663981
58,58,CHEMBL463175,CC1CC(=O)c2c(cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)CC6=O)c(O)cc(O)c3c2O)O1,inactive,518.4740000000003,4.601000000000006,6.0,10.0,4.357931372658496
59,59,CHEMBL1333429,COC(=O)c1ccccc1NC(=S)NC(=O)c1ccccc1C,inactive,328.39300000000003,2.9084200000000013,2.0,4.0,4.301029995663981
